motif_DB	motif_ID	motif_ALT_ID	seq_ID	FASTA_score	PWM_score	class
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr15:80591371-80591871	755	12.9606	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr9:21069277-21069777_shuf_1	1345	12.9531	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr7:151917812-151918312	402	12.9347	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr4:134486380-134486880	200	7.54395	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr7:128850881-128851381	387	7.46404	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr13:34169859-34170359_shuf_2	2467	7.26492	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr16:8761105-8761605_shuf_2	2581	7.24493	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr10:3150236-3150736_shuf_2	2302	7.15741	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr17:4626256-4626756_shuf_1	1703	7.15606	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr13:65348108-65348608_shuf_2	2482	7.09433	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr6:72324692-72325192	310	7.07303	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr5:72650363-72650863	242	7.06366	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr5:144685595-144686095	286	7.01873	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr4:44262427-44262927	167	6.98717	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr5:35503670-35504170	230	6.97518	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr6:149136525-149137025_shuf_2	2145	6.94997	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr5:107138557-107139057	254	6.94824	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr6:31150320-31150820	293	6.92467	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr17:84135990-84136490_shuf_1	1738	6.88687	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr16:34319201-34319701_shuf_2	2593	6.85851	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr10:40726422-40726922_shuf_1	1406	6.85731	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr5:129723298-129723798_shuf_2	2079	6.81315	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr3:97461666-97462166	133	6.81244	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr2:25869094-25869594_shuf_2	1867	6.78699	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr11:115626398-115626898_shuf_2	2415	6.77235	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr9:66197480-66197980_shuf_2	2267	6.73829	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr11:31712260-31712760	542	6.7257	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr10:20961508-20962008_shuf_1	1399	6.70816	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr14:30880007-30880507	704	6.70474	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr13:100518006-100518506	685	6.70321	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr19:32372780-32373280	890	6.70259	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr11:87563493-87563993	578	6.70224	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr9:114375900-114376400	479	6.682	tp
